,0_n,0_l,0_s,0_p,1_n,1_l,1_s,1_p,2_n,2_l,2_s,2_p,3_n,3_l,3_s,3_p,4_n,4_l,4_s,4_p,5_n,5_l,5_s,5_p,6_n,6_l,6_s,6_p,7_n,7_l,7_s,7_p,8_n,8_l,8_s,8_p
28,SNHG7,0.38558742,2.2378688,0.025229609014310712,TRABD2A,1.1960319,3.242053,0.001186719486954655,CDA,3.7876608,15.140221,8.791794019379332e-52,BLNK,4.956993,6.4272585,1.2992598391052394e-10,MT-CO1,0.17552298,3.6226947,0.00029154972341700143,LGALS3,2.778445,13.96465,2.561612053333518e-44,SAMD3,2.8555994,7.2074766,5.699823728002246e-13,C17orf62,1.7701291,4.1195173,3.796666927655244e-05,SEPT5,11.400935,4.152028,3.295420198613058e-05
29,CD247,0.2889627,2.2139077,0.02683512703895441,SUCLG2,0.93230754,3.2287776,0.0012432049304620326,HLA-DRA,2.3839352,14.5233345,8.621173572574798e-48,SWAP70,3.914398,6.394141,1.614520260581525e-10,ZAP70,1.213602,3.5105698,0.00044714728803261095,CD74,1.8508621,13.894751,6.816073600988181e-44,PSMB8,1.2438767,6.5779524,4.7697100005137574e-11,RNF7,1.5447776,4.0406485,5.3303620245601625e-05,MYL9,9.420847,4.136732,3.522868972776483e-05
30,FUS,0.39857635,2.096833,0.03600836241695051,SRSF5,0.32136092,3.2082613,0.0013354010455695416,IFI30,2.9083872,12.638143,1.3009154703480998e-36,CD19,5.2172484,6.157387,7.395507414477111e-10,ACTB,0.2381326,3.4112418,0.0006466772059238852,FCGRT,2.5569062,13.371789,8.838894128795488e-41,GPR56,4.8689775,6.495443,8.278961377976678e-11,MPC2,1.6497432,3.9941459,6.492787360282189e-05,ACRBP,9.069855,4.13192,3.597456099141269e-05
31,ILF3-AS1,0.52188504,1.9346256,0.053036256833907426,ATP5H,0.46675217,3.1055248,0.0018994178041801158,ACTB,0.6525233,12.491065,8.3527992493324e-36,LAT2,2.444441,5.7180996,1.0772193780519032e-08,GNLY,1.0228931,3.3361745,0.0008493985215714267,MT-CO1,0.586355,12.493094,8.142383542116588e-36,HAVCR2,4.5164256,6.357716,2.0477539661136368e-10,SRSF3,1.3716058,3.9266832,8.612531498042697e-05,PTGS1,8.098294,4.128483,3.651648051696447e-05
32,TAF1D,0.56197155,1.923203,0.05445456657702996,IL27RA,1.026235,3.0642443,0.0021822060535886443,TNFSF13B,3.0095437,12.406823,2.3998793761248082e-35,RPS27A,0.5234603,5.3506827,8.762311174999776e-08,KLRB1,2.161328,3.335565,0.0008512623427468881,CDA,2.9805844,12.392269,2.8778383892206267e-35,PLEKHF1,3.9900808,6.3559284,2.0717179795833358e-10,FKBP3,2.1389835,3.8809605,0.00010404471186331593,F13A1,8.201067,4.1212645,3.767984577143678e-05
33,CARS,1.1134106,1.8163763,0.06931266985312283,ILF3-AS1,0.7775826,3.0323713,0.00242640607792373,ALDH2,3.8465261,12.125,7.786015407309072e-34,SELL,0.7467902,5.0132513,5.351797570139949e-07,PRR5,2.1570096,3.2452252,0.0011735775405228553,FGL2,3.2197454,12.206545,2.868139231481353e-34,ABI3,2.0694752,6.050027,1.4482150755981902e-09,PQBP1,1.641584,3.8408923,0.0001225878581601331,MMD,7.8882775,4.114218,3.884938747533695e-05
34,AKTIP,1.0372316,1.8044544,0.07116009264150326,TCEAL8,0.8821258,2.998301,0.002714893730317218,FPR1,3.7459242,11.619166,3.293324531104779e-31,PRKCB,1.6648213,4.870285,1.1143750021933177e-06,SRGN,0.44029555,3.2132711,0.0013123232942016162,BLVRA,2.6883926,12.195294,3.2931007108898894e-34,CCL3,2.5481021,6.025469,1.6862022336322777e-09,PPT1,1.6786978,3.8377726,0.00012415532040372848,SNCA,7.1577277,4.0901575,4.310805218063055e-05
35,RP11-18H21.1,1.5865796,1.7949992,0.07265382569558881,PPP1R2,0.49967182,2.9709458,0.002968841309700351,MT-CO1,0.48928374,11.590867,4.584696455146776e-31,ARHGAP24,4.1890383,4.785706,1.7038737578885432e-06,FCRL6,2.863707,3.1691296,0.0015289621541560142,NCF2,2.7439563,12.096281,1.1050493441446088e-33,C5orf56,2.430422,5.951163,2.6624429132905027e-09,CNPY3,1.4659836,3.8150578,0.00013615114641178565,TPM1,7.131411,4.0875793,4.358973752400309e-05
36,SSBP1,0.33681533,1.7629923,0.07790178475212545,PRNP,1.0225123,2.9441476,0.0032384544376169435,LINC00936,2.1166377,11.303709,1.257899527072978e-29,C16orf74,2.9071639,4.011603,6.030788549299293e-05,GYG1,1.3732619,3.0586042,0.002223707096097152,ARRB2,2.298472,12.039148,2.212287091606705e-33,C9orf142,1.6740063,5.934913,2.94001078536521e-09,VAMP8,1.2895653,3.806966,0.00014068206870618085,PARVB,5.89412,3.9873836,6.680596498180245e-05
37,CCNG1,0.4525543,1.7279316,0.08400049466093223,LSM14A,0.7173609,2.933317,0.0033536129317948207,HLA-DRB1,1.7844298,11.270872,1.8275166633388236e-29,PARP1,1.5235757,3.8586905,0.00011399621556969035,MT-CO2,0.16949928,3.055824,0.0022444299363878558,TNFSF13B,2.7571173,11.525372,9.82869708795324e-31,PTGDR,3.8534484,5.8136463,6.112641947966512e-09,MRPL51,1.4475105,3.7678728,0.00016464461053936386,SRGN,2.7734773,3.8856409,0.00010206025760295753
38,DNAJA3,1.2906821,1.7086099,0.08752321997973589,SIVA1,0.5456363,2.8865595,0.0038947916711445647,CNPY3,1.925544,10.816477,2.8762093419935145e-27,BTK,2.0215957,3.767444,0.0001649275331032574,PDIA3,0.57910234,3.0233748,0.002499724799716846,TNFSF10,2.3331213,10.969799,5.3390823494012435e-28,MALAT1,0.45509934,5.563488,2.6443494001858337e-08,UQCRC1,1.4575346,3.751592,0.00017571527587181281,TALDO1,3.4400506,3.7950695,0.00014760218029682146
39,TTC3,0.5775139,1.6068339,0.10809080120566933,TMED4,0.692875,2.860473,0.004230095726263463,ASGR1,4.4683146,10.691292,1.1180261134682503e-26,MZB1,3.7169304,3.7295382,0.000191831021417653,GIMAP5,0.6968281,2.9671218,0.0030060180797376835,TNFRSF1B,2.6588,10.638756,1.967381111527908e-26,CAP1,1.1111355,5.3162217,1.05943917549521e-07,FCGRT,1.5593399,3.7027497,0.00021327526687247092,LY6G6F,31.543499,3.692983,0.0002216388437178932
40,PNRC1,0.16375142,1.5976136,0.11012899673955513,ZAP70,0.71827376,2.7729611,0.005554874706550177,FOLR3,6.3148603,10.683256,1.219193566358424e-26,DRAM2,1.1548356,3.6694932,0.00024303190572119262,SNRPB,0.5339567,2.9494882,0.003183008701440701,BLOC1S1,1.8780128,10.384986,2.9021206016629493e-25,SERPINB1,1.1319333,5.1744986,2.285235887637649e-07,PSMB6,1.5055902,3.695438,0.00021950804584303893,CMTM5,10.230438,3.6857648,0.00022801688459237474
41,SMDT1,0.24460632,1.5619656,0.11829610123986986,KIF5B,0.7222434,2.7597167,0.005785148467621339,SERPINB1,1.6323498,10.630813,2.1423837846329327e-26,RNASEH2B,1.1168522,3.618473,0.0002963462212500177,PTGDR,2.123909,2.890874,0.0038417232321775207,STX11,2.8155963,10.360591,3.746414038885977e-25,FCRL6,3.8241282,4.7623186,1.9138135483883487e-06,NT5C,1.7285882,3.6220284,0.00029230204036232197,GP1BA,9.409588,3.6819837,0.00023142612287290677
42,GIMAP2,0.37404028,1.4985096,0.13400087320994303,CISH,1.3280259,2.7447395,0.006055893936684581,CD74,0.9927793,10.539158,5.700731887781567e-26,PPP1R14A,4.652544,3.6075692,0.00030907903974051256,S100A4,0.7165034,2.7999246,0.005111453710832933,C5AR1,3.2117057,10.328317,5.247349457468832e-25,ARPC4,1.1448783,4.6495185,3.327110155397836e-06,SERPINF1,7.1399612,3.5885894,0.00033247189032540523,RP11-367G6.3,8.134242,3.6644537,0.000247866961289538
43,CCDC66,1.1975753,1.4302088,0.1526571107509268,CAPZB,0.3849094,2.74443,0.006061606255114445,VAMP8,1.1731678,9.976101,1.939393001492983e-23,NT5C,1.3056436,3.487074,0.0004883365261957042,CD160,2.7607257,2.731903,0.006296964103726149,FCGR2A,3.380927,10.06949,7.536776669911467e-24,GIMAP7,0.81988174,4.5561757,5.209336953761676e-06,PHACTR1,2.958136,3.574746,0.000350568114018837,DYNLL1,3.1635175,3.6348934,0.00027809554590207204
44,FAM107B,0.3967459,1.4247764,0.15422184563663577,IL23A,1.8077245,2.6628597,0.007747971735696221,ATP6V1F,1.5075599,9.9415655,2.74479195181923e-23,FCRL2,5.8512874,3.3815343,0.0007208220266412797,DENND2D,0.90735376,2.6345174,0.0084256963708797,OAS1,2.2183692,9.865985,5.845769918218373e-23,CAPZB,0.73100626,4.3812175,1.1801810797612412e-05,RALY,1.2535746,3.5354576,0.00040706943703370613,MARCH2,5.5078464,3.5084026,0.00045080627889364634
45,UBAC2,0.4674119,1.4217519,0.15509828812022555,NOP58,0.99752676,2.6383824,0.00833025979650103,PLBD1,3.8435066,9.78815,1.2659161199399333e-22,IGJ,3.55928,3.367315,0.0007590389466697635,ARL6IP5,0.33585912,2.4824784,0.013047194640054506,LINC00936,1.7920372,9.476293,2.634788577433604e-21,TBCB,1.048128,4.3642316,1.2757040639039158e-05,RNASEH2B,1.5539418,3.5170321,0.00043640089899564814,C2orf88,10.835945,3.2274072,0.0012491751513467248
46,UBIAD1,1.1633363,1.4042509,0.16024415458368568,ARHGDIA,0.4582047,2.6071901,0.009128868289131592,S100A12,5.858602,9.667849,4.1296987678138214e-22,GUCD1,2.4122384,3.2565448,0.0011277712968674174,TMED4,0.9117025,2.4763086,0.013274879330047293,H2AFY,1.7181959,9.239375,2.4794003471884485e-20,ITGB7,1.7896659,4.3443007,1.3971989786197102e-05,CSNK2B,1.2415491,3.4927573,0.00047806084113531113,CLEC1B,9.854632,3.2241418,0.0012635077435251732
47,LYRM4,0.5568553,1.3934742,0.16347642588923172,GPR171,1.6776395,2.5843527,0.009756194508402583,CCL3,2.7394283,9.021,1.863809672711769e-19,C15orf57,1.8499216,3.2088404,0.001332715156110086,CAP1,0.40797442,2.4659111,0.01366652449664459,TALDO1,1.525371,9.20234,3.502376341599084e-20,KLRC1,5.3903418,4.275043,1.911002018094538e-05,RBM3,1.0623306,3.4691648,0.0005220790883398768,AC147651.3,9.699799,3.2234545,0.0012665444120557707
48,NSA2,0.30593514,1.3925346,0.16376057166323665,WTAP,0.5869675,2.565755,0.010295152492872243,STX11,2.475499,8.94327,3.7782263301599584e-19,CD82,1.7568939,3.1561258,0.0015987988682249416,PCSK7,0.9437738,2.421541,0.01545485709557342,S100A8,1.4189923,8.795457,1.4246727306022089e-18,RBM39,0.9573858,4.230186,2.3349800332292368e-05,C14orf166,1.2831087,3.4201276,0.0006259177511478263,GAS2L1,6.926717,3.1849573,0.0014477540312405116
49,MAGEH1,1.0659273,1.3771185,0.16847563312221325,ITGB7,0.73264855,2.5414634,0.011038952639821364,H2AFY,1.6349329,8.934263,4.0989966182441245e-19,RASGRP2,0.7937438,3.0450976,0.002326048115520522,BTN3A2,0.66114753,2.3161952,0.02054760498141677,C20orf27,2.4068532,8.517207,1.634472499120476e-17,SELL,0.88830614,4.1845403,2.8574380576044347e-05,CAP1,1.1902606,3.3987775,0.0006768779050727936,TSC22D1,7.5703597,3.1770515,0.001487805866340829
50,NEMF,0.5608879,1.3581492,0.17441634074596213,PPP6C,0.8199966,2.497367,0.012511938211945881,BLVRA,2.142243,8.905375,5.320611298153006e-19,KIAA0040,1.9093145,3.0200112,0.0025276528035887186,TMEM50A,0.6129762,2.255372,0.024109980439167927,UBE2L6,1.4692435,8.4627285,2.6119369107206115e-17,CD160,4.039288,4.181543,2.8953776566057104e-05,ILF3,1.9257004,3.3958526,0.0006841517138095293,PLA2G12A,5.356599,3.087511,0.00201840198860709
51,CD96,0.45147693,1.3509257,0.17671925265543864,PDIA3,0.40873775,2.4684646,0.013569407105783214,IL8,4.0359545,8.7578125,1.990761679096852e-18,STK17A,0.6220434,3.0110598,0.0026033761124929495,CDC37,0.63377964,2.2459269,0.024708695433977478,GPX1,1.3808334,8.344418,7.156580578593477e-17,TMEM50A,1.0919079,4.1464143,3.377224068005891e-05,CAT,1.8073041,3.3605614,0.000777842188980158,GSN,5.1326404,3.056404,0.0022400918237435214
52,CHD2,0.4035953,1.2853849,0.19865780436987623,THYN1,0.6885762,2.4577267,0.01398195063014062,JUND,2.2765756,8.184467,2.7350990140430164e-16,RP5-887A10.1,6.969231,2.823336,0.004752674906205291,MFSD10,1.1766465,2.2320635,0.025610763198328338,LGALS2,1.9031426,8.279995,1.231801989573141e-16,SCP2,1.141278,4.062748,4.849842974216764e-05,TXNDC17,1.7367197,3.3193233,0.0009023585897316378,MFSD1,4.9556556,3.0130947,0.0025859824456206846
53,C14orf1,0.53503615,1.2781907,0.20118218673597243,CD47,0.47349578,2.430124,0.015093656664360997,HLA-DMA,1.5164546,8.177366,2.9011409537927476e-16,ODC1,1.2618977,2.8062801,0.005011710025488885,MT-ND5,0.27291584,2.1712022,0.029915887770203785,ATP6V1F,1.3523219,8.041477,8.8761730291998975e-16,RAMP1,5.9683433,4.054807,5.01757030313033e-05,OTUB1,1.377864,3.3008003,0.0009640944594747002,NT5C3A,3.9754727,2.8759484,0.004028156554429636
